Year,State,Age Group,State Rate,State Births,US Births,US Birth Rate,Unit
1990,New Mexico,15-17 years,46.9,"1,560","183,327",37.5,"per 1,000"
1990,New York,15-17 years,27.5,"9,260","183,327",37.5,"per 1,000"
1990,North Carolina,15-17 years,44.9,"5,946","183,327",37.5,"per 1,000"
1990,North Dakota,15-17 years,15.6,201,"183,327",37.5,"per 1,000"
1990,Ohio,15-17 years,34.3,"7,555","183,327",37.5,"per 1,000"
1990,Oklahoma,15-17 years,38.8,"2,528","183,327",37.5,"per 1,000"
1990,Oregon,15-17 years,30.7,"1,659","183,327",37.5,"per 1,000"
1990,Pennsylvania,15-17 years,28.4,"6,297","183,327",37.5,"per 1,000"
1990,Rhode Island,15-17 years,31.6,552,"183,327",37.5,"per 1,000"
1990,South Carolina,15-17 years,47,"3,540","183,327",37.5,"per 1,000"
1990,South Dakota,15-17 years,23.9,348,"183,327",37.5,"per 1,000"
1990,Tennessee,15-17 years,45,"4,515","183,327",37.5,"per 1,000"
1990,Texas,15-17 years,48,"17,693","183,327",37.5,"per 1,000"
1990,Total U.S.,15-17 years,37.5,"183,327","183,327",37.5,"per 1,000"
1990,Utah,15-17 years,26.3,"1,161","183,327",37.5,"per 1,000"
1990,Vermont,15-17 years,19.5,209,"183,327",37.5,"per 1,000"
1990,Virginia,15-17 years,32.1,"3,746","183,327",37.5,"per 1,000"
1990,Washington,15-17 years,29.6,"2,677","183,327",37.5,"per 1,000"
1990,West Virginia,15-17 years,33,"1,313","183,327",37.5,"per 1,000"
1990,Wisconsin,15-17 years,24.2,"2,329","183,327",37.5,"per 1,000"
1990,Wyoming,15-17 years,29.7,304,"183,327",37.5,"per 1,000"
1991,Alabama,15-17 years,47.8,"4,202","188,226",38.6,"per 1,000"
1991,Alaska,15-17 years,34.7,395,"188,226",38.6,"per 1,000"
1991,Arizona,15-17 years,50.7,"3,728","188,226",38.6,"per 1,000"
1991,Arkansas,15-17 years,49.1,"2,493","188,226",38.6,"per 1,000"
1991,California,15-17 years,46.2,"25,950","188,226",38.6,"per 1,000"
1991,Colorado,15-17 years,35.1,"2,234","188,226",38.6,"per 1,000"
1991,Connecticut,15-17 years,26.2,"1,465","188,226",38.6,"per 1,000"
1991,Delaware,15-17 years,39.9,486,"188,226",38.6,"per 1,000"
1991,District of Columbia,15-17 years,102.4,856,"188,226",38.6,"per 1,000"
1991,Florida,15-17 years,43.4,"9,737","188,226",38.6,"per 1,000"
1991,Georgia,15-17 years,50.4,"6,841","188,226",38.6,"per 1,000"
1991,Hawaii,15-17 years,34.4,707,"188,226",38.6,"per 1,000"
1991,Idaho,15-17 years,29.4,724,"188,226",38.6,"per 1,000"
1991,Illinois,15-17 years,40.5,"9,038","188,226",38.6,"per 1,000"
1991,Indiana,15-17 years,35.4,"4,095","188,226",38.6,"per 1,000"
1991,Iowa,15-17 years,22.8,"1,278","188,226",38.6,"per 1,000"
1991,Kansas,15-17 years,29.3,"1,433","188,226",38.6,"per 1,000"
1991,Kentucky,15-17 years,42.8,"3,342","188,226",38.6,"per 1,000"
1991,Louisiana,15-17 years,51.1,"4,802","188,226",38.6,"per 1,000"
1991,Maine,15-17 years,23.7,567,"188,226",38.6,"per 1,000"
1991,Maryland,15-17 years,35,"2,966","188,226",38.6,"per 1,000"
1991,Massachusetts,15-17 years,25.1,"2,519","188,226",38.6,"per 1,000"
1991,Michigan,15-17 years,35.6,"6,773","188,226",38.6,"per 1,000"
1991,Minnesota,15-17 years,20.7,"1,749","188,226",38.6,"per 1,000"
1991,Mississippi,15-17 years,60.3,"3,670","188,226",38.6,"per 1,000"
1991,Missouri,15-17 years,38.9,"3,912","188,226",38.6,"per 1,000"
1991,Montana,15-17 years,23.4,402,"188,226",38.6,"per 1,000"
1991,Nebraska,15-17 years,23.5,761,"188,226",38.6,"per 1,000"
1991,Nevada,15-17 years,43.8,962,"188,226",38.6,"per 1,000"
1991,New Hampshire,15-17 years,17,335,"188,226",38.6,"per 1,000"
1991,New Jersey,15-17 years,26.2,"3,685","188,226",38.6,"per 1,000"
1991,New Mexico,15-17 years,49.7,"1,695","188,226",38.6,"per 1,000"
1991,New York,15-17 years,28.8,"9,586","188,226",38.6,"per 1,000"
1991,North Carolina,15-17 years,46.3,"6,004","188,226",38.6,"per 1,000"
1991,North Dakota,15-17 years,18.1,235,"188,226",38.6,"per 1,000"
1991,Ohio,15-17 years,36.3,"7,875","188,226",38.6,"per 1,000"
1991,Oklahoma,15-17 years,41.6,"2,733","188,226",38.6,"per 1,000"
1991,Oregon,15-17 years,31.2,"1,765","188,226",38.6,"per 1,000"
1991,Pennsylvania,15-17 years,29.2,"6,348","188,226",38.6,"per 1,000"
1991,Rhode Island,15-17 years,30.1,506,"188,226",38.6,"per 1,000"
1991,South Carolina,15-17 years,48,"3,569","188,226",38.6,"per 1,000"
1991,South Dakota,15-17 years,26.2,395,"188,226",38.6,"per 1,000"
1991,Tennessee,15-17 years,47.7,"4,712","188,226",38.6,"per 1,000"
1991,Texas,15-17 years,50,"18,653","188,226",38.6,"per 1,000"
1991,Total U.S.,15-17 years,38.6,"188,226","188,226",38.6,"per 1,000"
1991,Utah,15-17 years,26.9,"1,275","188,226",38.6,"per 1,000"
1991,Vermont,15-17 years,21.2,225,"188,226",38.6,"per 1,000"
1991,Virginia,15-17 years,31.5,"3,648","188,226",38.6,"per 1,000"
1991,Washington,15-17 years,30.9,"2,907","188,226",38.6,"per 1,000"
1991,West Virginia,15-17 years,32.6,"1,272","188,226",38.6,"per 1,000"
1991,Wisconsin,15-17 years,24.8,"2,439","188,226",38.6,"per 1,000"
1991,Wyoming,15-17 years,26.3,277,"188,226",38.6,"per 1,000"
1992,Alabama,15-17 years,46.1,"4,116","187,549",37.6,"per 1,000"
1992,Alaska,15-17 years,34.3,409,"187,549",37.6,"per 1,000"
1992,Arizona,15-17 years,50.5,"3,842","187,549",37.6,"per 1,000"
1992,Arkansas,15-17 years,46.1,"2,403","187,549",37.6,"per 1,000"
1992,California,15-17 years,45.3,"26,010","187,549",37.6,"per 1,000"
1992,Colorado,15-17 years,36.4,"2,423","187,549",37.6,"per 1,000"
1992,Connecticut,15-17 years,25.7,"1,441","187,549",37.6,"per 1,000"
1992,Delaware,15-17 years,43.3,545,"187,549",37.6,"per 1,000"
1992,District of Columbia,15-17 years,84.7,699,"187,549",37.6,"per 1,000"
1992,Florida,15-17 years,41.7,"9,559","187,549",37.6,"per 1,000"
1992,Georgia,15-17 years,48.1,"6,662","187,549",37.6,"per 1,000"
1992,Hawaii,15-17 years,31,660,"187,549",37.6,"per 1,000"
1992,Idaho,15-17 years,28.4,748,"187,549",37.6,"per 1,000"
1992,Illinois,15-17 years,40,"9,129","187,549",37.6,"per 1,000"
1992,Indiana,15-17 years,34.8,"4,081","187,549",37.6,"per 1,000"
1992,Iowa,15-17 years,21.1,"1,223","187,549",37.6,"per 1,000"
1992,Kansas,15-17 years,30.2,"1,536","187,549",37.6,"per 1,000"
1992,Kentucky,15-17 years,38.9,"3,112","187,549",37.6,"per 1,000"
1992,Louisiana,15-17 years,52.2,"5,071","187,549",37.6,"per 1,000"
1992,Maine,15-17 years,21.1,509,"187,549",37.6,"per 1,000"
1992,Maryland,15-17 years,32.6,"2,812","187,549",37.6,"per 1,000"
1992,Massachusetts,15-17 years,24.5,"2,448","187,549",37.6,"per 1,000"
1992,Michigan,15-17 years,33.9,"6,478","187,549",37.6,"per 1,000"
1992,Minnesota,15-17 years,20.5,"1,804","187,549",37.6,"per 1,000"
1992,Mississippi,15-17 years,58.8,"3,662","187,549",37.6,"per 1,000"
1992,Missouri,15-17 years,38.3,"3,947","187,549",37.6,"per 1,000"
1992,Montana,15-17 years,25.4,461,"187,549",37.6,"per 1,000"
1992,Nebraska,15-17 years,22.8,759,"187,549",37.6,"per 1,000"
1992,Nevada,15-17 years,42.4,972,"187,549",37.6,"per 1,000"
1992,New Hampshire,15-17 years,14.7,294,"187,549",37.6,"per 1,000"
1992,New Jersey,15-17 years,24.1,"3,439","187,549",37.6,"per 1,000"
1992,New Mexico,15-17 years,50.9,"1,808","187,549",37.6,"per 1,000"
1992,New York,15-17 years,28.5,"9,658","187,549",37.6,"per 1,000"
1992,North Carolina,15-17 years,43.8,"5,746","187,549",37.6,"per 1,000"
1992,North Dakota,15-17 years,17.8,239,"187,549",37.6,"per 1,000"
1992,Ohio,15-17 years,34.8,"7,666","187,549",37.6,"per 1,000"
1992,Oklahoma,15-17 years,41,"2,778","187,549",37.6,"per 1,000"
1992,Oregon,15-17 years,30.2,"1,795","187,549",37.6,"per 1,000"
1992,Pennsylvania,15-17 years,28.6,"6,308","187,549",37.6,"per 1,000"
1992,Rhode Island,15-17 years,29.6,500,"187,549",37.6,"per 1,000"
1992,South Carolina,15-17 years,45.6,"3,434","187,549",37.6,"per 1,000"
1992,South Dakota,15-17 years,26.6,424,"187,549",37.6,"per 1,000"
1992,Tennessee,15-17 years,44.3,"4,460","187,549",37.6,"per 1,000"
1992,Texas,15-17 years,50.5,"19,296","187,549",37.6,"per 1,000"
1992,Total U.S.,15-17 years,37.6,"187,549","187,549",37.6,"per 1,000"
1992,Utah,15-17 years,25.9,"1,338","187,549",37.6,"per 1,000"
1992,Vermont,15-17 years,17.1,186,"187,549",37.6,"per 1,000"
1992,Virginia,15-17 years,30.7,"3,622","187,549",37.6,"per 1,000"
1992,Washington,15-17 years,30.7,"3,039","187,549",37.6,"per 1,000"
1992,West Virginia,15-17 years,32.7,"1,299","187,549",37.6,"per 1,000"
1992,Wisconsin,15-17 years,23.9,"2,427","187,549",37.6,"per 1,000"
1992,Wyoming,15-17 years,24.8,272,"187,549",37.6,"per 1,000"
1993,Alabama,15-17 years,47.3,"4,278","190,535",37.5,"per 1,000"
1993,Alaska,15-17 years,33.6,416,"190,535",37.5,"per 1,000"
1993,Arizona,15-17 years,49.1,"3,868","190,535",37.5,"per 1,000"
1993,Arkansas,15-17 years,45.1,"2,388","190,535",37.5,"per 1,000"
1993,California,15-17 years,45.3,"26,352","190,535",37.5,"per 1,000"
1993,Colorado,15-17 years,35.3,"2,431","190,535",37.5,"per 1,000"
1993,Connecticut,15-17 years,26.2,"1,478","190,535",37.5,"per 1,000"
1993,Delaware,15-17 years,38.5,496,"190,535",37.5,"per 1,000"
1993,District of Columbia,15-17 years,94.4,784,"190,535",37.5,"per 1,000"
1993,Florida,15-17 years,41.4,"9,729","190,535",37.5,"per 1,000"
1993,Georgia,15-17 years,48.4,"6,880","190,535",37.5,"per 1,000"
1993,Hawaii,15-17 years,29.1,633,"190,535",37.5,"per 1,000"
1993,Idaho,15-17 years,29.1,809,"190,535",37.5,"per 1,000"
1993,Illinois,15-17 years,40.8,"9,445","190,535",37.5,"per 1,000"
1993,Indiana,15-17 years,34.2,"4,073","190,535",37.5,"per 1,000"
1993,Iowa,15-17 years,23.2,"1,376","190,535",37.5,"per 1,000"
1993,Kansas,15-17 years,30.9,"1,615","190,535",37.5,"per 1,000"
1993,Kentucky,15-17 years,39.5,"3,222","190,535",37.5,"per 1,000"
1993,Louisiana,15-17 years,52.2,"5,176","190,535",37.5,"per 1,000"
1993,Maine,15-17 years,20,488,"190,535",37.5,"per 1,000"
1993,Maryland,15-17 years,33.4,"2,945","190,535",37.5,"per 1,000"
1993,Massachusetts,15-17 years,23.5,"2,361","190,535",37.5,"per 1,000"
1993,Michigan,15-17 years,33,"6,369","190,535",37.5,"per 1,000"
1993,Minnesota,15-17 years,20.5,"1,861","190,535",37.5,"per 1,000"
1993,Mississippi,15-17 years,57,"3,611","190,535",37.5,"per 1,000"
1993,Missouri,15-17 years,36.5,"3,855","190,535",37.5,"per 1,000"
1993,Montana,15-17 years,26.4,499,"190,535",37.5,"per 1,000"
1993,Nebraska,15-17 years,22.6,768,"190,535",37.5,"per 1,000"
1993,Nevada,15-17 years,44.9,"1,082","190,535",37.5,"per 1,000"
1993,New Hampshire,15-17 years,14.8,302,"190,535",37.5,"per 1,000"
1993,New Jersey,15-17 years,24.8,"3,572","190,535",37.5,"per 1,000"
1993,New Mexico,15-17 years,53,"1,958","190,535",37.5,"per 1,000"
1993,New York,15-17 years,29,"9,953","190,535",37.5,"per 1,000"
1993,North Carolina,15-17 years,43.1,"5,743","190,535",37.5,"per 1,000"
1993,North Dakota,15-17 years,17.5,242,"190,535",37.5,"per 1,000"
1993,Ohio,15-17 years,34.8,"7,739","190,535",37.5,"per 1,000"
1993,Oklahoma,15-17 years,40.3,"2,772","190,535",37.5,"per 1,000"
1993,Oregon,15-17 years,30.1,"1,843","190,535",37.5,"per 1,000"
1993,Pennsylvania,15-17 years,28.3,"6,303","190,535",37.5,"per 1,000"
1993,Rhode Island,15-17 years,33.3,572,"190,535",37.5,"per 1,000"
1993,South Carolina,15-17 years,43,"3,279","190,535",37.5,"per 1,000"
1993,South Dakota,15-17 years,24.7,406,"190,535",37.5,"per 1,000"
1993,Tennessee,15-17 years,43,"4,419","190,535",37.5,"per 1,000"
1993,Texas,15-17 years,50.8,"19,812","190,535",37.5,"per 1,000"
1993,Total U.S.,15-17 years,37.5,"190,535","190,535",37.5,"per 1,000"
1993,Utah,15-17 years,25.3,"1,400","190,535",37.5,"per 1,000"
1993,Vermont,15-17 years,16.8,186,"190,535",37.5,"per 1,000"
1993,Virginia,15-17 years,30.2,"3,621","190,535",37.5,"per 1,000"
1993,Washington,15-17 years,29.4,"2,997","190,535",37.5,"per 1,000"
1993,West Virginia,15-17 years,33.5,"1,341","190,535",37.5,"per 1,000"
1993,Wisconsin,15-17 years,23.9,"2,483","190,535",37.5,"per 1,000"
1993,Wyoming,15-17 years,26.9,304,"190,535",37.5,"per 1,000"
1994,Alabama,15-17 years,49.6,"4,597","195,169",37.2,"per 1,000"
1994,Alaska,15-17 years,33.1,426,"195,169",37.2,"per 1,000"
1994,Arizona,15-17 years,50.1,"4,127","195,169",37.2,"per 1,000"
1994,Arkansas,15-17 years,47.6,"2,593","195,169",37.2,"per 1,000"
1994,California,15-17 years,44.1,"26,423","195,169",37.2,"per 1,000"
1994,Colorado,15-17 years,35,"2,517","195,169",37.2,"per 1,000"
1994,Connecticut,15-17 years,28.7,"1,652","195,169",37.2,"per 1,000"
1994,Delaware,15-17 years,43.4,582,"195,169",37.2,"per 1,000"
1994,District of Columbia,15-17 years,79.6,682,"195,169",37.2,"per 1,000"
1994,Florida,15-17 years,41.5,"10,145","195,169",37.2,"per 1,000"
1994,Georgia,15-17 years,47.9,"7,105","195,169",37.2,"per 1,000"
1994,Hawaii,15-17 years,30.9,696,"195,169",37.2,"per 1,000"
1994,Idaho,15-17 years,26.6,788,"195,169",37.2,"per 1,000"
1994,Illinois,15-17 years,40.3,"9,590","195,169",37.2,"per 1,000"
1994,Indiana,15-17 years,34.7,"4,240","195,169",37.2,"per 1,000"
1994,Iowa,15-17 years,22.9,"1,403","195,169",37.2,"per 1,000"
1994,Kansas,15-17 years,30.3,"1,648","195,169",37.2,"per 1,000"
1994,Kentucky,15-17 years,39.5,"3,306","195,169",37.2,"per 1,000"
1994,Louisiana,15-17 years,50.8,"5,200","195,169",37.2,"per 1,000"
1994,Maine,15-17 years,18.2,454,"195,169",37.2,"per 1,000"
1994,Maryland,15-17 years,32.1,"2,913","195,169",37.2,"per 1,000"
1994,Massachusetts,15-17 years,23.6,"2,432","195,169",37.2,"per 1,000"
1994,Michigan,15-17 years,31.9,"6,303","195,169",37.2,"per 1,000"
1994,Minnesota,15-17 years,19.9,"1,896","195,169",37.2,"per 1,000"
1994,Mississippi,15-17 years,57.5,"3,739","195,169",37.2,"per 1,000"
1994,Missouri,15-17 years,35.4,"3,872","195,169",37.2,"per 1,000"
1994,Montana,15-17 years,22.2,438,"195,169",37.2,"per 1,000"
1994,Nebraska,15-17 years,24.2,851,"195,169",37.2,"per 1,000"
1994,Nevada,15-17 years,46.5,"1,214","195,169",37.2,"per 1,000"
1994,New Hampshire,15-17 years,14.6,311,"195,169",37.2,"per 1,000"
1994,New Jersey,15-17 years,25,"3,700","195,169",37.2,"per 1,000"
1994,New Mexico,15-17 years,51.3,"1,988","195,169",37.2,"per 1,000"
1994,New York,15-17 years,28.7,"10,054","195,169",37.2,"per 1,000"
1994,North Carolina,15-17 years,43.6,"5,981","195,169",37.2,"per 1,000"
1994,North Dakota,15-17 years,15.3,218,"195,169",37.2,"per 1,000"
1994,Ohio,15-17 years,33.7,"7,698","195,169",37.2,"per 1,000"
1994,Oklahoma,15-17 years,40.4,"2,855","195,169",37.2,"per 1,000"
1994,Oregon,15-17 years,29.8,"1,904","195,169",37.2,"per 1,000"
1994,Pennsylvania,15-17 years,27.9,"6,373","195,169",37.2,"per 1,000"
1994,Rhode Island,15-17 years,32.1,568,"195,169",37.2,"per 1,000"
1994,South Carolina,15-17 years,44.7,"3,506","195,169",37.2,"per 1,000"
1994,South Dakota,15-17 years,22.9,392,"195,169",37.2,"per 1,000"
1994,Tennessee,15-17 years,42.7,"4,547","195,169",37.2,"per 1,000"
1994,Texas,15-17 years,51.2,"20,680","195,169",37.2,"per 1,000"
1994,Total U.S.,15-17 years,37.2,"195,169","195,169",37.2,"per 1,000"
1994,Utah,15-17 years,24.4,"1,433","195,169",37.2,"per 1,000"
1994,Vermont,15-17 years,16.2,187,"195,169",37.2,"per 1,000"
1994,Virginia,15-17 years,30.8,"3,798","195,169",37.2,"per 1,000"
1994,Washington,15-17 years,28.5,"3,039","195,169",37.2,"per 1,000"
1994,West Virginia,15-17 years,32.7,"1,320","195,169",37.2,"per 1,000"
1994,Wisconsin,15-17 years,23.2,"2,489","195,169",37.2,"per 1,000"
1994,Wyoming,15-17 years,25.1,296,"195,169",37.2,"per 1,000"
1995,Alabama,15-17 years,45.7,"4,347","192,508",35.5,"per 1,000"
1995,Alaska,15-17 years,30.3,402,"192,508",35.5,"per 1,000"
1995,Arizona,15-17 years,47.5,"4,178","192,508",35.5,"per 1,000"
1995,Arkansas,15-17 years,46.6,"2,628","192,508",35.5,"per 1,000"
1995,California,15-17 years,41.7,"25,861","192,508",35.5,"per 1,000"
1995,Colorado,15-17 years,33.3,"2,511","192,508",35.5,"per 1,000"
1995,Connecticut,15-17 years,26.4,"1,555","192,508",35.5,"per 1,000"
1995,Delaware,15-17 years,38.5,535,"192,508",35.5,"per 1,000"
1995,District of Columbia,15-17 years,66.7,592,"192,508",35.5,"per 1,000"
1995,Florida,15-17 years,39.3,"9,993","192,508",35.5,"per 1,000"
1995,Georgia,15-17 years,47.6,"7,351","192,508",35.5,"per 1,000"
1995,Hawaii,15-17 years,26.8,618,"192,508",35.5,"per 1,000"
1995,Idaho,15-17 years,26.6,818,"192,508",35.5,"per 1,000"
1995,Illinois,15-17 years,37.6,"9,246","192,508",35.5,"per 1,000"
1995,Indiana,15-17 years,34.5,"4,348","192,508",35.5,"per 1,000"
1995,Iowa,15-17 years,22.3,"1,415","192,508",35.5,"per 1,000"
1995,Kansas,15-17 years,30,"1,692","192,508",35.5,"per 1,000"
1995,Kentucky,15-17 years,38.8,"3,305","192,508",35.5,"per 1,000"
1995,Louisiana,15-17 years,44.9,"4,747","192,508",35.5,"per 1,000"
1995,Maine,15-17 years,19.3,493,"192,508",35.5,"per 1,000"
1995,Maryland,15-17 years,31.4,"2,964","192,508",35.5,"per 1,000"
1995,Massachusetts,15-17 years,21.5,"2,282","192,508",35.5,"per 1,000"
1995,Michigan,15-17 years,30.3,"6,161","192,508",35.5,"per 1,000"
1995,Minnesota,15-17 years,19.5,"1,951","192,508",35.5,"per 1,000"
1995,Mississippi,15-17 years,56.9,"3,813","192,508",35.5,"per 1,000"
1995,Missouri,15-17 years,32.5,"3,700","192,508",35.5,"per 1,000"
1995,Montana,15-17 years,22.9,468,"192,508",35.5,"per 1,000"
1995,Nebraska,15-17 years,22,806,"192,508",35.5,"per 1,000"
1995,Nevada,15-17 years,44.1,"1,236","192,508",35.5,"per 1,000"
1995,New Hampshire,15-17 years,14.8,329,"192,508",35.5,"per 1,000"
1995,New Jersey,15-17 years,23.9,"3,613","192,508",35.5,"per 1,000"
1995,New Mexico,15-17 years,48.2,"1,951","192,508",35.5,"per 1,000"
1995,New York,15-17 years,26.4,"9,392","192,508",35.5,"per 1,000"
1995,North Carolina,15-17 years,41.9,"5,892","192,508",35.5,"per 1,000"
1995,North Dakota,15-17 years,17.8,262,"192,508",35.5,"per 1,000"
1995,Ohio,15-17 years,32.6,"7,653","192,508",35.5,"per 1,000"
1995,Oklahoma,15-17 years,38.6,"2,814","192,508",35.5,"per 1,000"
1995,Oregon,15-17 years,29.7,"1,981","192,508",35.5,"per 1,000"
1995,Pennsylvania,15-17 years,26.2,"6,134","192,508",35.5,"per 1,000"
1995,Rhode Island,15-17 years,26.1,475,"192,508",35.5,"per 1,000"
1995,South Carolina,15-17 years,42.2,"3,388","192,508",35.5,"per 1,000"
1995,South Dakota,15-17 years,21.4,381,"192,508",35.5,"per 1,000"
1995,Tennessee,15-17 years,41.4,"4,553","192,508",35.5,"per 1,000"
1995,Texas,15-17 years,49.9,"21,018","192,508",35.5,"per 1,000"
1995,Total U.S.,15-17 years,35.5,"192,508","192,508",35.5,"per 1,000"
1995,Utah,15-17 years,24.5,"1,488","192,508",35.5,"per 1,000"
1995,Vermont,15-17 years,10.6,128,"192,508",35.5,"per 1,000"
1995,Virginia,15-17 years,30.1,"3,835","192,508",35.5,"per 1,000"
1995,Washington,15-17 years,28.1,"3,122","192,508",35.5,"per 1,000"
1995,West Virginia,15-17 years,30.5,"1,238","192,508",35.5,"per 1,000"
1995,Wisconsin,15-17 years,22.8,"2,541","192,508",35.5,"per 1,000"
1995,Wyoming,15-17 years,24.8,304,"192,508",35.5,"per 1,000"
1996,Alabama,15-17 years,43.7,"4,207","185,721",33.3,"per 1,000"
1996,Alaska,15-17 years,26.7,370,"185,721",33.3,"per 1,000"
1996,Arizona,15-17 years,46.6,"4,326","185,721",33.3,"per 1,000"
1996,Arkansas,15-17 years,43.6,"2,528","185,721",33.3,"per 1,000"
1996,California,15-17 years,37.2,"24,088","185,721",33.3,"per 1,000"
1996,Colorado,15-17 years,30.8,"2,430","185,721",33.3,"per 1,000"
1996,Connecticut,15-17 years,24.1,"1,443","185,721",33.3,"per 1,000"
1996,Delaware,15-17 years,39.5,569,"185,721",33.3,"per 1,000"
1996,District of Columbia,15-17 years,67.3,595,"185,721",33.3,"per 1,000"
1996,Florida,15-17 years,36,"9,509","185,721",33.3,"per 1,000"
1996,Georgia,15-17 years,44.6,"7,132","185,721",33.3,"per 1,000"
1996,Hawaii,15-17 years,26.9,638,"185,721",33.3,"per 1,000"
1996,Idaho,15-17 years,26.2,829,"185,721",33.3,"per 1,000"
1996,Illinois,15-17 years,35.1,"8,913","185,721",33.3,"per 1,000"
1996,Indiana,15-17 years,32.8,"4,204","185,721",33.3,"per 1,000"
1996,Iowa,15-17 years,21.5,"1,397","185,721",33.3,"per 1,000"
1996,Kansas,15-17 years,27.7,"1,619","185,721",33.3,"per 1,000"
1996,Kentucky,15-17 years,36.8,"3,154","185,721",33.3,"per 1,000"
1996,Louisiana,15-17 years,42.6,"4,607","185,721",33.3,"per 1,000"
1996,Maine,15-17 years,16.9,436,"185,721",33.3,"per 1,000"
1996,Maryland,15-17 years,29.3,"2,841","185,721",33.3,"per 1,000"
1996,Massachusetts,15-17 years,19.7,"2,143","185,721",33.3,"per 1,000"
1996,Michigan,15-17 years,28.5,"5,915","185,721",33.3,"per 1,000"
1996,Minnesota,15-17 years,18.7,"1,937","185,721",33.3,"per 1,000"
1996,Mississippi,15-17 years,51.3,"3,501","185,721",33.3,"per 1,000"
1996,Missouri,15-17 years,31,"3,638","185,721",33.3,"per 1,000"
1996,Montana,15-17 years,21.3,445,"185,721",33.3,"per 1,000"
1996,Nebraska,15-17 years,22.2,841,"185,721",33.3,"per 1,000"
1996,Nevada,15-17 years,42,"1,265","185,721",33.3,"per 1,000"
1996,New Hampshire,15-17 years,15.3,353,"185,721",33.3,"per 1,000"
1996,New Jersey,15-17 years,22.4,"3,435","185,721",33.3,"per 1,000"
1996,New Mexico,15-17 years,45.1,"1,892","185,721",33.3,"per 1,000"
1996,New York,15-17 years,24.4,"8,767","185,721",33.3,"per 1,000"
1996,North Carolina,15-17 years,41.3,"5,911","185,721",33.3,"per 1,000"
1996,North Dakota,15-17 years,16.1,242,"185,721",33.3,"per 1,000"
1996,Ohio,15-17 years,29.6,"7,071","185,721",33.3,"per 1,000"
1996,Oklahoma,15-17 years,37.1,"2,794","185,721",33.3,"per 1,000"
1996,Oregon,15-17 years,29.3,"2,017","185,721",33.3,"per 1,000"
1996,Pennsylvania,15-17 years,24.4,"5,811","185,721",33.3,"per 1,000"
1996,Rhode Island,15-17 years,26.9,499,"185,721",33.3,"per 1,000"
1996,South Carolina,15-17 years,39.7,"3,259","185,721",33.3,"per 1,000"
1996,South Dakota,15-17 years,22.4,409,"185,721",33.3,"per 1,000"
1996,Tennessee,15-17 years,39.6,"4,440","185,721",33.3,"per 1,000"
1996,Texas,15-17 years,47.9,"21,065","185,721",33.3,"per 1,000"
1996,Total U.S.,15-17 years,33.3,"185,721","185,721",33.3,"per 1,000"
1996,Utah,15-17 years,23.6,"1,462","185,721",33.3,"per 1,000"
1996,Vermont,15-17 years,15,187,"185,721",33.3,"per 1,000"
